12.09.2018;12.09.2018;12.09.2018;12.09.2018;12.10.2018;12.10.2018;12.10.2018;12.10.2018;12.11.2018;12.11.2018;12.11.2018;12.11.2018;12.12.2018;12.12.2018;12.12.2018;12.12.2018
<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
105390;105390;105390;105390;114330;114350;114250;114290;112310;112350;112310;112350;112660;112740;112660;112730
105350;105370;105350;105370;114300;114330;114280;114300;112350;112370;112340;112340;112730;112740;112670;112690
105360;105360;105320;105320;114300;114330;114280;114320;112340;112380;112340;112380;112700;112710;112650;112660
105340;105360;105340;105350;114320;114390;114320;114360;112380;112390;112380;112390;112670;112750;112660;112720
105380;105400;105380;105400;114380;114390;114360;114390;112390;112390;112340;112360;112710;112730;112640;112660
105380;105400;105380;105400;114370;114440;114360;114440;112350;112370;112330;112330;112650;112700;112630;112640
105380;105410;105380;105410;114430;114490;114390;114450;112340;112340;112300;112300;112660;112700;112640;112670
105380;105380;105380;105380;114460;114480;114430;114440;112320;112350;112310;112350;112680;112790;112650;112790
105380;105390;105370;105370;114450;114490;114450;114480;112350;112380;112350;112380;112790;112810;112750;112810
105410;105430;105410;105430;114490;114580;114460;114580;112380;112410;112370;112380;112810;112820;112770;112810
105420;105420;105380;105420;114580;114610;114540;114580;112400;112410;112370;112370;112810;112830;112790;112800
105360;105360;105360;105360;114590;114640;114580;114620;112370;112420;112370;112410;112800;112810;112780;112780
105330;105340;105270;105270;114640;114650;114520;114520;112410;112430;112390;112390;112800;112820;112780;112800
105270;105300;105270;105300;114530;114720;114520;114710;112380;112400;112340;112350;112800;112810;112760;112790
105290;105290;105220;105260;114710;114720;114620;114680;112350;112360;112320;112350;112790;112820;112770;112780
105250;105250;105160;105170;114690;114730;114670;114710;112340;112350;112300;112350;112770;112800;112730;112730
105160;105200;105160;105160;114710;114720;114640;114690;112330;112340;112310;112320;112730;112740;112690;112720
